Continent;Country or region;Country code;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
North;Mexico;484;28013;28836;29712;30634;31600;32605;33648;34727;35841;36990;38174;39394;40650;41940;43264;44623;46011;47430;48894;50423;52030;53719;55478;57281;59088;60872;62624;64346;66039;67710;69361;70992;72603;74197;75781;77361;78934;80503;82084;83698;85358;87072;88828;90600;92349;94046;95687;97282;98821;100301;101720;103067;104356;105640;106996;108472;110092;111836;113662;115505;117319;119090;120828;122536;124222;125891
North;Canada;124;13733;14099;14482;14884;15304;15738;16183;16631;17075;17506;17917;18304;18669;19017;19359;19704;20052;20401;20751;21102;21453;21804;22156;22503;22838;23156;23457;23742;24014;24278;24537;24791;25041;25297;25572;25874;26208;26570;26948;27326;27693;28045;28384;28711;29026;29330;29622;29903;30178;30454;30736;31025;31321;31628;31949;32288;32645;33020;33405;33790;34169;34539;34901;35255;35605;35950
North;United States of America;840;158804;160905;163325;165988;168828;171784;174806;177851;180884;183878;186808;189655;192398;195016;197492;199816;201975;203982;205880;207733;209588;211462;213352;215269;217218;219205;221239;223324;225450;227600;229763;231939;234133;236344;238574;240824;243099;245403;247740;250113;252530;254975;257454;260020;262742;265659;268803;272137;275543;278862;281983;284852;287507;290028;292539;295130;297827;300595;303374;306076;308641;311051;313335;315537;317719;319929
Central;Belize;84;69;71;73;76;78;80;82;85;87;89;92;95;97;100;103;106;109;113;116;119;122;125;127;129;131;133;135;137;139;141;144;148;152;156;160;165;170;174;179;183;188;191;194;198;202;207;214;222;230;239;247;255;262;269;276;283;291;298;306;314;322;329;337;344;352;359
Central;Costa Rica;188;959;986;1016;1048;1083;1120;1158;1199;1242;1286;1333;1382;1433;1485;1537;1590;1642;1695;1747;1798;1849;1898;1947;1996;2046;2097;2151;2208;2266;2327;2389;2454;2521;2590;2660;2730;2801;2872;2945;3019;3096;3176;3257;3341;3426;3511;3597;3683;3767;3849;3925;3997;4063;4126;4187;4248;4309;4369;4430;4488;4545;4600;4654;4706;4758;4808
Central;El Salvador;222;2200;2237;2278;2325;2375;2429;2488;2550;2616;2687;2763;2843;2928;3016;3106;3198;3290;3384;3478;3573;3669;3765;3862;3958;4054;4148;4240;4330;4418;4501;4581;4655;4726;4793;4859;4924;4989;5054;5119;5186;5255;5327;5400;5474;5545;5611;5672;5728;5779;5825;5868;5906;5940;5972;6001;6029;6056;6083;6110;6137;6165;6193;6221;6251;6281;6312
Central;Guatemala;320;3115;3212;3312;3413;3518;3625;3736;3850;3968;4088;4211;4336;4464;4596;4731;4870;5013;5161;5312;5466;5622;5780;5942;6105;6269;6434;6599;6766;6934;7106;7283;7466;7655;7847;8043;8240;8439;8639;8843;9050;9264;9483;9709;9939;10172;10408;10647;10888;11134;11387;11651;11925;12209;12500;12797;13096;13397;13700;14006;14316;14630;14949;15271;15596;15924;16252
Central;Honduras;340;1547;1589;1632;1677;1723;1771;1822;1873;1927;1982;2039;2096;2156;2217;2280;2346;2415;2486;2561;2638;2717;2798;2882;2969;3059;3153;3251;3353;3458;3567;3678;3793;3911;4031;4155;4281;4410;4542;4676;4814;4955;5100;5248;5399;5553;5709;5868;6029;6192;6357;6524;6693;6863;7034;7204;7373;7541;7708;7873;8035;8195;8352;8506;8658;8809;8961
Central;Nicaragua;558;1295;1332;1372;1414;1460;1508;1558;1611;1665;1719;1775;1830;1887;1944;2002;2063;2125;2190;2257;2326;2398;2473;2550;2630;2712;2797;2884;2974;3065;3157;3250;3343;3436;3528;3619;3709;3797;3883;3968;4055;4145;4237;4331;4427;4521;4612;4701;4787;4870;4950;5027;5101;5172;5241;5310;5379;5450;5522;5595;5667;5738;5808;5877;5946;6014;6082
Central;Panama;591;860;881;904;929;954;981;1009;1038;1068;1100;1133;1167;1202;1239;1276;1315;1354;1394;1435;1476;1519;1563;1608;1653;1699;1745;1791;1838;1885;1931;1979;2026;2074;2122;2170;2219;2269;2318;2369;2419;2471;2523;2576;2630;2684;2740;2796;2854;2912;2971;3030;3090;3149;3209;3270;3330;3392;3454;3516;3579;3643;3708;3773;3838;3904;3969
South;Argentina;32;17150;17507;17866;18224;18579;18929;19275;19615;19951;20286;20619;20953;21288;21622;21954;22283;22609;22932;23261;23606;23973;24366;24783;25213;25645;26067;26477;26879;27278;27685;28106;28543;28994;29455;29921;30389;30857;31326;31796;32264;32730;33194;33655;34111;34558;34995;35420;35834;36242;36648;37057;37472;37889;38309;38729;39145;39559;39970;40382;40799;41224;41657;42097;42540;42982;43418
South;Bolivia (Plurinational State of);68;3090;3140;3193;3248;3306;3365;3427;3491;3556;3624;3693;3765;3838;3913;3991;4071;4153;4237;4324;4414;4506;4601;4698;4799;4902;5009;5120;5234;5350;5469;5590;5712;5835;5960;6085;6212;6338;6465;6593;6723;6856;6993;7132;7274;7419;7567;7717;7871;8026;8183;8340;8496;8653;8810;8968;9125;9283;9441;9600;9759;9918;10078;10239;10400;10562;10725
South;Brazil;76;53975;55619;57307;59031;60785;62569;64388;66249;68164;70147;72208;74352;76573;78854;81169;83498;85838;88191;90557;92935;95327;97729;100144;102584;105069;107612;110213;112868;115578;118343;121160;124031;126947;129882;132801;135676;138499;141273;144002;146692;149352;151977;154564;157133;159705;162297;164913;167545;170171;172759;175288;177751;180151;182482;184738;186917;189012;191027;192979;194896;196796;198687;200561;202409;204213;205962
South;Chile;152;6188;6327;6468;6611;6757;6907;7061;7219;7381;7547;7717;7890;8067;8247;8431;8617;8806;8997;9189;9378;9564;9745;9923;10096;10267;10436;10602;10766;10931;11097;11266;11439;11616;11798;11986;12181;12384;12594;12809;13026;13242;13457;13671;13883;14091;14297;14498;14695;14888;15077;15263;15445;15624;15800;15974;16147;16320;16492;16662;16829;16993;17153;17310;17463;17614;17763
South;Colombia;170;12341;12700;13065;13439;13825;14225;14642;15075;15526;15995;16480;16982;17500;18034;18582;19144;19721;20311;20905;21491;22061;22612;23147;23675;24208;24757;25323;25905;26502;27114;27738;28376;29027;29687;30350;31012;31670;32324;32976;33624;34272;34917;35559;36195;36824;37442;38049;38645;39234;39819;40404;40989;41572;42152;42724;43286;43836;44375;44902;45416;45918;46407;46881;47343;47792;48229
South;Ecuador;218;3470;3561;3655;3752;3853;3957;4066;4179;4297;4419;4546;4677;4813;4954;5099;5250;5406;5566;5731;5900;6073;6249;6429;6612;6798;6987;7179;7374;7572;7773;7976;8183;8393;8606;8824;9046;9273;9504;9739;9977;10218;10461;10706;10951;11196;11441;11683;11925;12164;12399;12629;12853;13072;13290;13510;13735;13967;14205;14448;14691;14935;15177;15420;15662;15903;16144
South;French Guiana;254;25;26;27;27;28;28;29;30;30;31;32;33;34;36;37;39;41;42;44;46;48;50;51;53;55;56;58;60;62;64;67;70;73;77;82;86;92;98;104;110;116;121;125;129;133;137;142;146;151;157;163;171;179;188;196;204;211;217;222;228;234;241;247;255;262;269
South;Guyana;328;407;419;433;448;465;483;500;518;536;554;572;589;606;623;638;652;665;676;686;696;705;714;722;730;738;746;754;762;770;776;780;782;781;779;775;770;764;758;751;746;743;744;748;753;758;761;762;761;758;755;753;752;752;752;752;751;750;748;746;746;747;749;753;758;763;769
South;Paraguay;600;1473;1512;1551;1590;1631;1673;1716;1761;1807;1854;1903;1953;2005;2059;2114;2171;2229;2290;2351;2413;2474;2535;2597;2659;2724;2791;2862;2935;3013;3094;3181;3271;3367;3466;3568;3672;3778;3885;3994;4104;4214;4323;4433;4542;4651;4761;4871;4980;5089;5197;5303;5407;5509;5608;5704;5795;5883;5966;6047;6128;6210;6294;6379;6466;6553;6639
South;Peru;604;7728;7924;8129;8340;8560;8787;9022;9266;9520;9785;10062;10350;10651;10962;11281;11608;11941;12282;12629;12982;13341;13704;14072;14448;14833;15230;15640;16061;16491;16925;17359;17793;18226;18660;19100;19545;19996;20452;20910;21369;21827;22283;22737;23184;23619;24039;24441;24827;25200;25561;25915;26261;26601;26938;27273;27610;27950;28293;28642;29002;29374;29760;30159;30566;30973;31377
South;Suriname;740;215;223;230;236;243;250;257;265;273;282;290;298;306;315;323;332;341;351;360;367;371;373;371;368;365;363;361;361;361;362;363;363;364;365;368;371;377;384;391;399;407;415;423;430;437;444;450;456;462;467;472;478;483;488;494;499;504;510;515;521;526;532;537;543;548;553
South;Uruguay;858;2239;2261;2286;2313;2342;2373;2404;2437;2471;2505;2539;2572;2604;2635;2665;2695;2723;2750;2775;2795;2810;2818;2821;2822;2824;2830;2841;2857;2876;2896;2916;2935;2954;2973;2993;3012;3031;3050;3069;3089;3110;3132;3155;3178;3202;3225;3248;3271;3292;3309;3321;3327;3328;3326;3324;3326;3331;3340;3351;3363;3374;3386;3397;3408;3420;3432
South;Venezuela (Bolivarian Republic of);862;5482;5735;5990;6245;6501;6758;7019;7286;7561;7847;8147;8462;8791;9130;9476;9825;10175;10528;10882;11235;11588;11938;12286;12637;12994;13361;13739;14128;14526;14932;15344;15762;16186;16617;17058;17508;17969;18438;18913;19388;19862;20332;20799;21263;21726;22189;22650;23110;23569;24029;24488;24948;25409;25869;26327;26784;27239;27692;28142;28587;29028;29463;29893;30318;30738;31155